1.78557 0.988436
1.7976 0.988984
1.80962 0.989508
1.82164 0.99001
1.83367 0.990491
1.84569 0.990951
1.85772 0.991391
1.86974 0.991812
1.88176 0.992214
1.89379 0.992598
1.90581 0.992966
1.91784 0.993317
1.92986 0.993652
1.94188 0.993972
1.95391 0.994277
1.96593 0.994568
1.97796 0.994846
1.98998 0.995111
2.002 0.995363
2.01403 0.995604
2.02605 0.995833
2.03808 0.996052
2.0501 0.99626
2.06212 0.996458
2.07415 0.996646
2.08617 0.996825
2.0982 0.996996
2.11022 0.997158
2.12224 0.997312
2.13427 0.997458
2.14629 0.997597
2.15832 0.997729
2.17034 0.997854
2.18236 0.997973
2.19439 0.998086
2.20641 0.998193
2.21844 0.998295
2.23046 0.998391
2.24248 0.998483
2.25451 0.998569
2.26653 0.998651
2.27856 0.998729
2.29058 0.998802
2.30261 0.998871
2.31463 0.998937
2.32665 0.998999
2.33868 0.999058
2.3507 0.999114
2.36273 0.999166
2.37475 0.999216
2.38677 0.999263
2.3988 0.999307
2.41082 0.999349
2.42285 0.999388
2.43487 0.999426
2.44689 0.999461
2.45892 0.999494
2.47094 0.999525
2.48297 0.999554
2.49499 0.999582
2.50701 0.999608
2.51904 0.999633
2.53106 0.999656
2.54309 0.999677
2.55511 0.999698
2.56713 0.999717
2.57916 0.999735
2.59118 0.999752
2.60321 0.999768
2.61523 0.999783
2.62725 0.999797
2.63928 0.99981
2.6513 0.999823
2.66333 0.999834
2.67535 0.999845
2.68737 0.999856
2.6994 0.999865
2.71142 0.999874
2.72345 0.999883
2.73547 0.99989
2.74749 0.999898
2.75952 0.999905
2.77154 0.999911
2.78357 0.999917
2.79559 0.999923
2.80762 0.999928
2.81964 0.999933
2.83166 0.999938
2.84369 0.999942
2.85571 0.999946
2.86774 0.99995
2.87976 0.999953
2.89178 0.999957
2.90381 0.99996
2.91583 0.999963
2.92786 0.999965
2.93988 0.999968
2.9519 0.99997
2.96393 0.999972
2.97595 0.999974
2.98798 0.999976
3 0.999978
